name,province,type,lat,lon,cost,duration_days,review_score,distance_km,popularity,activities,season,travel_style,image_url
อุทยานแห่งชาติเขาสก,สุราษฎร์ธานี,ธรรมชาติ,8.9166,98.5316,149,2.88,86,90.2,75,"เดินป่า/เดินเล่น,ถ่ายภาพ,ปิกนิก",หน้าหนาว (พ.ย. - ก.พ.) อากาศเย็นสบายที่สุด,"ผจญภัย,ถ่ายภาพ,พักผ่อน",https://mpics-cdn-acc.mgronline.com/pics/Images/563000010828201.JPEG
น้ำตกหงาว,ระนอง,ธรรมชาติ,9.967,98.682,62,0.89,57,8.2,91,"เดินป่า/เดินเล่น,ถ่ายภาพ,ปิกนิก",หน้าหนาว (พ.ย. - ก.พ.) อากาศเย็นสบายที่สุด,"ผจญภัย,ถ่ายภาพ,พักผ่อน",https://ak-d.tripcdn.com/images/1mi5f2224trjs7e4hBB6A_W_200_0_R5_Q50.jpg?proc=source%2Ftrip
เขาหลัก,พังงา,ธรรมชาติ,8.6626,98.2743,240,2.27,55,36.7,98,"เดินป่า/เดินเล่น,ถ่ายภาพ,ปิกนิก",หน้าหนาว (พ.ย. - ก.พ.) อากาศเย็นสบายที่สุด,"ผจญภัย,ถ่ายภาพ,พักผ่อน",https://cdn.sanity.io/images/nxpteyfv/goguides/0d52b27b06e855cb044e18a56ed507182fb491b3-1600x1066.jpg?auto=format&fit=max&fp-x=0.5&fp-y=0.5&w=100
ป่าพรุโต๊ะแดง,นราธิวาส,ธรรมชาติ,6.15,101.9333,332,1.03,62,32.9,51,"เดินป่า/เดินเล่น,ถ่ายภาพ,ปิกนิก",หน้าหนาว (พ.ย. - ก.พ.) อากาศเย็นสบายที่สุด,"ผจญภัย,ถ่ายภาพ,พักผ่อน",https://www.puyok.go.th/images/CHATCHAI/TT/pu3.JPEG
เขาพนมเบญจา,กระบี่,ธรรมชาติ,8.1,98.8333,121,1.81,73,8.2,57,"เดินป่า/เดินเล่น,ถ่ายภาพ,ปิกนิก",หน้าหนาว (พ.ย. - ก.พ.) อากาศเย็นสบายที่สุด,"ผจญภัย,ถ่ายภาพ,พักผ่อน",https://th.readme.me/f/39722/cover.jpg
อุทยานแห่งชาติแหลมสน,ระนอง,ธรรมชาติ,9.7,98.5333,244,0.85,67,29.3,61,"เดินป่า/เดินเล่น,ถ่ายภาพ,ปิกนิก",หน้าหนาว (พ.ย. - ก.พ.) อากาศเย็นสบายที่สุด,"ผจญภัย,ถ่ายภาพ,พักผ่อน",https://cbtthailand.dasta.or.th/upload-file-api/Resources/RelateAttraction/Images/RAT850088/1.jpeg
เกาะพีพี,กระบี่,ทะเล / ชายหาด,7.7407,98.7784,684,3.36,63,40.9,70,"เล่นน้ำ,ถ่ายภาพ,พักผ่อน",หน้าร้อน - หน้าหนาว (พ.ย. - เม.ย.),"พักผ่อน,ถ่ายภาพ,ครอบครัว",https://aws-tiqets-cdn.imgix.net/images/content/1f9dead84fe44cd68db2647cb0d4be56.jpeg
หาดป่าตอง,ภูเก็ต,ทะเล / ชายหาด,7.8961,98.2966,888,1.14,81,10.7,50,"เล่นน้ำ,ถ่ายภาพ,พักผ่อน",หน้าร้อน - หน้าหนาว (พ.ย. - เม.ย.),"พักผ่อน,ถ่ายภาพ,ครอบครัว",
อ่าวนาง,กระบี่,ทะเล / ชายหาด,8.0286,98.8228,97,3.85,96,11.2,88,"เล่นน้ำ,ถ่ายภาพ,พักผ่อน",หน้าร้อน - หน้าหนาว (พ.ย. - เม.ย.),"พักผ่อน,ถ่ายภาพ,ครอบครัว",https://www.weseektravel.com/wp-content/uploads/2023/06/where-to-stay-ao-nang-1.jpg
หาดไร่เลย์,กระบี่,ทะเล / ชายหาด,8.01,98.8372,456,1.29,84,11.4,66,"เล่นน้ำ,ถ่ายภาพ,พักผ่อน",หน้าร้อน - หน้าหนาว (พ.ย. - เม.ย.),"พักผ่อน,ถ่ายภาพ,ครอบครัว",https://cdn.audleytravel.com/1600/1144/60/16017015-railay-beach-krabi.jpg
เกาะหลีเป๊ะ,สตูล,ทะเล / ชายหาด,6.4794,99.2989,183,2.49,56,86.4,94,"เล่นน้ำ,ถ่ายภาพ,พักผ่อน",หน้าร้อน - หน้าหนาว (พ.ย. - เม.ย.),"พักผ่อน,ถ่ายภาพ,ครอบครัว",
เกาะสมุย,สุราษฎร์ธานี,ทะเล / ชายหาด,9.512,100.0136,388,2.99,68,86.6,71,"เล่นน้ำ,ถ่ายภาพ,พักผ่อน",หน้าร้อน - หน้าหนาว (พ.ย. - เม.ย.),"พักผ่อน,ถ่ายภาพ,ครอบครัว",https://cdn.sanity.io/images/nxpteyfv/goguides/1cce7443a016225121e8412f64fe678d919426fc-1600x1067.jpg
เกาะพะงัน,สุราษฎร์ธานี,ทะเล / ชายหาด,9.73,100.0133,820,1.55,96,100.4,86,"เล่นน้ำ,ถ่ายภาพ,พักผ่อน",หน้าร้อน - หน้าหนาว (พ.ย. - เม.ย.),"พักผ่อน,ถ่ายภาพ,ครอบครัว",https://cdn.wochenblitz.com/2026/06/koh-phangan-expats-fordern-aus-fuer-thai-zeremonien-featured.jpg
หาดนราทัศน์,นราธิวาส,ทะเล / ชายหาด,6.43,101.81,1409,3.68,80,1.8,95,"เล่นน้ำ,ถ่ายภาพ,พักผ่อน",หน้าร้อน - หน้าหนาว (พ.ย. - เม.ย.),"พักผ่อน,ถ่ายภาพ,ครอบครัว",
เกาะยาวน้อย,พังงา,ทะเล / ชายหาด,8.1167,98.5833,132,1.59,56,37.6,59,"เล่นน้ำ,ถ่ายภาพ,พักผ่อน",หน้าร้อน - หน้าหนาว (พ.ย. - เม.ย.),"พักผ่อน,ถ่ายภาพ,ครอบครัว",https://content.r9cdn.net/rimg/dimg/08/e7/5b520c3d-city-58036-1696ddd3567.jpg?crop=true&height=768&width=1366&xhint=2249&yhint=1452
หาดคึกคัก,พังงา,ทะเล / ชายหาด,8.6386,98.2606,583,1.81,90,36.3,61,"เล่นน้ำ,ถ่ายภาพ,พักผ่อน",หน้าร้อน - หน้าหนาว (พ.ย. - เม.ย.),"พักผ่อน,ถ่ายภาพ,ครอบครัว",https://f.ptcdn.info/873/016/000/1395204530-2377JPG-o.jpg
ย่านเมืองเก่าภูเก็ต,ภูเก็ต,ประวัติศาสตร์ / วัฒนธรรม,7.885,98.388,120,0.66,61,0.7,88,"ชมวัฒนธรรม,ถ่ายภาพ",ตลอดปี,"ครอบครัว,ถ่ายภาพ",https://i0.wp.com/thailandgaho.com/wp-content/uploads/2020/04/08_DSC02050.jpg?resize=940%2C627&ssl=1
พิพิธภัณฑสถานแห่งชาตินครศรีธรรมราช,นครศรีธรรมราช,ประวัติศาสตร์ / วัฒนธรรม,8.427,99.966,68,0.99,88,0.5,51,"ชมวัฒนธรรม,ถ่ายภาพ",ตลอดปี,"ครอบครัว,ถ่ายภาพ",https://paiteawgun.com/blog/wp-content/uploads/2013/10/%E0%B8%9E%E0%B8%B4%E0%B8%9E%E0%B8%B4%E0%B8%98%E0%B8%A0%E0%B8%B1%E0%B8%93%E0%B8%91%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4%E0%B8%34010.jpg
ย่านเมืองเก่าสงขลา,สงขลา,ประวัติศาสตร์ / วัฒนธรรม,7.201,100.596,51,0.86,85,1.3,83,"ชมวัฒนธรรม,ถ่ายภาพ",ตลอดปี,"ครอบครัว,ถ่ายภาพ",https://i.pinimg.com/originals/14/1f/95/141f955f6ae9c8dd18f2c099a152bea5.jpg
ป้อมปืนใหญ่ภูเก็ต,ภูเก็ต,ประวัติศาสตร์ / วัฒนธรรม,7.8833,98.39,242,0.31,70,0.4,46,"ชมวัฒนธรรม,ถ่ายภาพ",ตลอดปี,"ครอบครัว,ถ่ายภาพ",
วัดพระมหาธาตุวรมหาวิหาร,นครศรีธรรมราช,วัด / ศาสนสถาน,8.431,99.9645,86,0.35,69,0.2,43,"ชมวัฒนธรรม,ไหว้พระ",ตลอดปี,"ครอบครัว,พักผ่อน",https://img.wongnai.com/p/1920x0/2019/05/26/4a6a314b98004f10ac28b366eaaccdb3.jpg
วัดฉลอง,ภูเก็ต,วัด / ศาสนสถาน,7.8442,98.3378,31,0.23,86,7.2,78,"ชมวัฒนธรรม,ไหว้พระ",ตลอดปี,"ครอบครัว,พักผ่อน",https://www.holidify.com/images/cmsuploads/compressed/Phuket_Thailand_Wat-Chalong-02_20190916180534.jpg
วัดถ้ำเสือ,กระบี่,วัด / ศาสนสถาน,8.1167,98.9333,88,0.29,60,4.5,82,"ชมวัฒนธรรม,ไหว้พระ",ตลอดปี,"ครอบครัว,พักผ่อน",https://cdn.prod.rexby.com/image/6c0f40b4fbb944159beedd4300c3152b?format=webp&height=1350&width=1080
พระใหญ่ภูเก็ต (บิ๊กพุทธ),ภูเก็ต,วัด / ศาสนสถาน,7.8272,98.3117,76,0.32,88,10.7,69,"ชมวัฒนธรรม,ไหว้พระ",ตลอดปี,"ครอบครัว,พักผ่อน",https://i0.wp.com/content.phuket101.net/wp-content/uploads/20200530214142/big-buddha-2019.jpg?ssl=1
มัสยิดกลางประจำจังหวัดปัตตานี,ปัตตานี,วัด / ศาสนสถาน,6.8698,101.2497,52,0.27,56,0.7,46,"ชมวัฒนธรรม,ไหว้พระ",ตลอดปี,"ครอบครัว,พักผ่อน",https://news.muslimthaipost.com/uploads/2019/11/06/img/img_157302201322.jpg
มัสยิดกลางสงขลา,สงขลา,วัด / ศาสนสถาน,7.0086,100.4747,3,0.35,68,24.1,70,"ชมวัฒนธรรม,ไหว้พระ",ตลอดปี,"ครอบครัว,พักผ่อน",https://f.tpkcdn.com/review-source/54135e08-9eab-46b1-2ef8-579617b3621d.jpg
เซ็นทรัล ภูเก็ต ฟลอเรสต้า,ภูเก็ต,ช้อปปิ้ง / ไลฟ์สไตล์,7.9019,98.366,1815,0.44,72,3.8,85,"ช้อปปิ้ง,ถ่ายภาพ",ตลอดปี,"ครอบครัว,พักผ่อน",https://getoccupi.com/cdn-cgi/image/width%3D1200%2Cquality%3D85%2Cformat%3Dauto/https%3A/static.getoccupi.com/uploads/mall_photo/photo/12747/662bcecd47815fd979c94d4e87a165a590a4e413-1600x1066.jpg
ตลาดใหญ่หาดใหญ่,สงขลา,ช้อปปิ้ง / ไลฟ์สไตล์,7.0086,100.4747,457,0.31,67,24.1,49,"ช้อปปิ้ง,ถ่ายภาพ",ตลอดปี,"ครอบครัว,พักผ่อน",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/d7/5b/d3/kim-yong-market.jpg?h=400&s=1&w=700
ถนนคนเดินภูเก็ต (ตลาดหลาดใหญ่),ภูเก็ต,ช้อปปิ้ง / ไลฟ์สไตล์,7.885,98.388,1859,0.86,82,0.7,92,"ช้อปปิ้ง,ถ่ายภาพ",ตลอดปี,"ครอบครัว,พักผ่อน",https://i0.wp.com/thailandgaho.com/wp-content/uploads/2020/04/08_DSC02050.jpg?resize=940%2C627&ssl=1
เซ็นทรัล เฟสติวัล หาดใหญ่,สงขลา,ช้อปปิ้ง / ไลฟ์สไตล์,7.006,100.469,1607,0.39,93,24.7,72,"ช้อปปิ้ง,ถ่ายภาพ",ตลอดปี,"ครอบครัว,พักผ่อน",https://ak-d.tripcdn.com/images/1mi3w224x90udo3d5B41B.jpg?proc=source%2Ftrip
ภูเก็ตแฟนตาซี,ภูเก็ต,สวนสนุก / กิจกรรม,7.9805,98.2938,1026,0.95,68,15.5,46,"เครื่องเล่น/ผจญภัย,ถ่ายภาพ",ตลอดปี (เลี่ยงช่วงหน้าฝน),"ครอบครัว,ผจญภัย",https://bluegaxy.com/image/cache/catalog/Show/dzvcxbrsefhdu1rtjkn9.jpg
สงขลาซู,สงขลา,สวนสนุก / กิจกรรม,7.1892,100.6122,505,0.71,90,1.9,91,"เครื่องเล่น/ผจญภัย,ถ่ายภาพ",ตลอดปี (เลี่ยงช่วงหน้าฝน),"ครอบครัว,ผจญภัย",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/39/bb/3c/songkhla-zoo.jpg?h=400&s=1&w=700
